month,product_line,region,revenue_k,cost_k,gross_margin_rate,order_count
2023-07,云梯-硬件,华东,105.57,77.9,0.2621,5
2023-07,云梯-硬件,华北,72.51,53.32,0.2647,16
2023-07,云梯-硬件,华南,65.99,49.01,0.2573,11
2023-07,云梯-硬件,西部,37.44,27.61,0.2626,10
2023-07,云梯-服务,华东,83.35,38.53,0.5377,13
2023-07,云梯-服务,华北,50.43,21.94,0.565,1
2023-07,云梯-服务,华南,48.07,21.51,0.5526,5
2023-07,云梯-服务,西部,28.37,12.25,0.5681,7
2023-08,云梯-企业版,华东,323.19,120.75,0.6264,45
2023-08,云梯-企业版,华北,201.66,74.89,0.6287,33
2023-08,云梯-企业版,华南,156.34,60.02,0.6161,28
2023-08,云梯-企业版,西部,113.92,44.57,0.6088,21
2023-08,云梯-标准版,华东,162.91,84.77,0.4797,21
2023-08,云梯-标准版,华北,109.71,57.5,0.4759,11
2023-08,云梯-标准版,华南,100.69,50.75,0.496,12
2023-08,云梯-标准版,西部,61.32,31.49,0.4865,4
2023-08,云梯-硬件,华东,112.43,81.8,0.2725,15
2023-08,云梯-硬件,华北,70.7,52.04,0.2639,11
2023-08,云梯-硬件,华南,60.66,44.93,0.2593,7
2023-08,云梯-硬件,西部,43.06,31.03,0.2794,6
2023-08,云梯-服务,华东,77.49,34.88,0.5499,19
2023-08,云梯-服务,华北,55.67,25.34,0.5448,6
2023-08,云梯-服务,华南,45.9,20.57,0.5518,14
2023-08,云梯-服务,西部,32.4,14.04,0.5665,5
2023-09,云梯-企业版,华东,329.78,128.26,0.6111,50
2023-09,云梯-企业版,华北,259.52,95.03,0.6338,33
2023-09,云梯-企业版,华南,235.23,87.92,0.6263,41
2023-09,云梯-企业版,西部,145.33,58.23,0.5993,24
2023-09,云梯-标准版,华东,245.6,128.57,0.4765,32
2023-09,云梯-标准版,华北,141.68,72.43,0.4888,21
2023-09,云梯-标准版,华南,134.44,70.11,0.4785,16
2023-09,云梯-标准版,西部,86.06,44.95,0.4777,7
2023-09,云梯-硬件,华东,143.59,106.07,0.2613,23
2023-09,云梯-硬件,华北,101.04,76.21,0.2458,17
2023-09,云梯-硬件,华南,79.72,59.52,0.2534,15
2023-09,云梯-硬件,西部,50.96,37.1,0.2719,8
2023-09,云梯-服务,华东,102.13,46.74,0.5423,14
2023-09,云梯-服务,华北,62.79,27.7,0.5588,4
2023-09,云梯-服务,华南,55.72,24.49,0.5604,1
2023-09,云梯-服务,西部,35.24,15.76,0.5527,1
2023-10,云梯-企业版,华东,333.39,131.94,0.6042,50
2023-10,云梯-企业版,华北,213.82,80.97,0.6213,33
2023-10,云梯-企业版,华南,173.2,67.06,0.6128,15
2023-10,云梯-企业版,西部,126.85,45.67,0.64,14
2023-10,云梯-标准版,华东,181.12,90.84,0.4985,26
2023-10,云梯-标准版,华北,124.48,63.0,0.4939,13
2023-10,云梯-标准版,华南,113.76,58.04,0.4898,16
2023-10,云梯-标准版,西部,67.45,36.33,0.4615,14
2023-10,云梯-硬件,华东,119.91,87.47,0.2705,18
2023-10,云梯-硬件,华北,73.98,55.19,0.2539,7
2023-10,云梯-硬件,华南,62.41,45.63,0.2689,9
2023-10,云梯-硬件,西部,35.48,26.13,0.2637,6
2023-10,云梯-服务,华东,82.63,35.52,0.5701,21
2023-10,云梯-服务,华北,61.79,27.67,0.5523,14
2023-10,云梯-服务,华南,49.78,22.19,0.5542,9
2023-10,云梯-服务,西部,29.66,13.07,0.5594,2
2023-11,云梯-企业版,华东,264.14,104.51,0.6044,38
2023-11,云梯-企业版,华北,211.52,79.69,0.6233,31
2023-11,云梯-企业版,华南,172.48,65.84,0.6183,23
2023-11,云梯-企业版,西部,120.86,46.0,0.6194,22
2023-11,云梯-标准版,华东,168.23,88.83,0.472,16
2023-11,云梯-标准版,华北,115.09,60.2,0.477,7
2023-11,云梯-标准版,华南,101.31,54.7,0.4601,15
2023-11,云梯-标准版,西部,69.36,34.41,0.5039,8
2023-11,云梯-硬件,华东,108.81,77.97,0.2835,11
2023-11,云梯-硬件,华北,82.79,61.92,0.2521,6
2023-11,云梯-硬件,华南,59.5,44.56,0.2511,13
2023-11,云梯-硬件,西部,42.64,30.45,0.2858,4
2023-11,云梯-服务,华东,70.21,32.09,0.543,5
2023-11,云梯-服务,华北,57.39,26.97,0.53,7
2023-11,云梯-服务,华南,46.01,20.38,0.557,1
2023-11,云梯-服务,西部,26.12,12.11,0.5364,1
2023-12,云梯-企业版,华东,410.51,149.95,0.6347,63
2023-12,云梯-企业版,华北,235.91,88.65,0.6242,36
2023-12,云梯-企业版,华南,224.5,83.97,0.626,25
2023-12,云梯-企业版,西部,153.22,57.98,0.6216,16
2023-12,云梯-标准版,华东,213.7,111.33,0.479,29
2023-12,云梯-标准版,华北,145.4,80.0,0.4498,23
2023-12,云梯-标准版,华南,113.9,57.4,0.496,16
2023-12,云梯-标准版,西部,80.28,40.58,0.4946,8
2023-12,云梯-硬件,华东,152.9,113.39,0.2584,21
2023-12,云梯-硬件,华北,99.25,69.58,0.2989,16
2023-12,云梯-硬件,华南,78.16,57.7,0.2618,4
2023-12,云梯-硬件,西部,55.19,40.71,0.2623,8
2023-12,云梯-服务,华东,92.17,42.03,0.544,10
2023-12,云梯-服务,华北,65.39,28.38,0.5659,9
2023-12,云梯-服务,华南,55.97,25.63,0.542,5
2023-12,云梯-服务,西部,36.98,17.29,0.5324,4
2024-01,云梯-企业版,华东,304.91,126.32,0.5857,50
2024-01,云梯-企业版,华北,222.84,83.04,0.6274,25
2024-01,云梯-企业版,华南,186.89,70.63,0.6221,31
2024-01,云梯-企业版,西部,116.05,44.94,0.6127,9
2024-01,云梯-标准版,华东,178.56,88.88,0.5022,29
2024-01,云梯-标准版,华北,140.44,71.36,0.4919,18
2024-01,云梯-标准版,华南,102.33,53.62,0.4761,15
2024-01,云梯-标准版,西部,61.61,32.3,0.4757,6
2024-01,云梯-硬件,华东,127.39,92.67,0.2726,20
2024-01,云梯-硬件,华北,87.29,63.93,0.2676,16
2024-01,云梯-硬件,华南,66.57,49.56,0.2555,3
2024-01,云梯-硬件,西部,48.19,34.07,0.2931,7
2024-01,云梯-服务,华东,83.2,35.9,0.5685,14
2024-01,云梯-服务,华北,58.17,26.86,0.5383,12
2024-01,云梯-服务,华南,46.64,21.17,0.5461,3
2024-01,云梯-服务,西部,28.67,12.53,0.5628,3
2024-02,云梯-企业版,华东,278.43,104.2,0.6258,45
2024-02,云梯-企业版,华北,212.19,82.06,0.6133,26
2024-02,云梯-企业版,华南,195.95,74.31,0.6208,25
2024-02,云梯-企业版,西部,115.7,46.52,0.5979,20
2024-02,云梯-标准版,华东,173.55,90.6,0.478,35
2024-02,云梯-标准版,华北,111.65,57.18,0.4879,12
2024-02,云梯-标准版,华南,101.28,53.7,0.4698,17
2024-02,云梯-标准版,西部,63.37,31.96,0.4957,5
2024-02,云梯-硬件,华东,127.21,92.11,0.2759,15
2024-02,云梯-硬件,华北,83.86,60.09,0.2835,5
2024-02,云梯-硬件,华南,70.2,50.68,0.2781,14
2024-02,云梯-硬件,西部,41.1,31.13,0.2425,8
2024-02,云梯-服务,华东,96.04,42.93,0.553,6
2024-02,云梯-服务,华北,54.16,24.16,0.5539,10
2024-02,云梯-服务,华南,47.23,21.7,0.5406,3
2024-02,云梯-服务,西部,30.04,13.16,0.562,5
2024-03,云梯-企业版,华东,411.91,155.15,0.6233,58
2024-03,云梯-企业版,华北,277.15,105.39,0.6197,42
2024-03,云梯-企业版,华南,245.71,90.63,0.6312,31
2024-03,云梯-企业版,西部,149.93,56.9,0.6205,23
2024-03,云梯-标准版,华东,210.21,107.92,0.4866,28
2024-03,云梯-标准版,华北,155.14,80.05,0.484,20
2024-03,云梯-标准版,华南,134.25,70.15,0.4775,25
2024-03,云梯-标准版,西部,87.86,45.89,0.4777,17
2024-03,云梯-硬件,华东,145.4,105.73,0.2728,16
2024-03,云梯-硬件,华北,101.96,72.05,0.2934,11
2024-03,云梯-硬件,华南,91.98,65.74,0.2852,15
2024-03,云梯-硬件,西部,54.86,39.31,0.2834,8
2024-03,云梯-服务,华东,112.5,50.09,0.5548,14
2024-03,云梯-服务,华北,66.83,32.74,0.51,6
2024-03,云梯-服务,华南,71.04,32.07,0.5486,10
2024-03,云梯-服务,西部,36.66,15.25,0.5841,3
2024-04,云梯-企业版,华东,301.97,114.86,0.6196,38
2024-04,云梯-企业版,华北,216.52,83.34,0.6151,31
2024-04,云梯-企业版,华南,178.5,66.99,0.6247,26
2024-04,云梯-企业版,西部,133.61,50.78,0.6199,19
2024-04,云梯-标准版,华东,177.09,93.94,0.4696,21
2024-04,云梯-标准版,华北,125.25,67.39,0.462,18
2024-04,云梯-标准版,华南,103.53,54.26,0.4759,17
2024-04,云梯-标准版,西部,63.23,32.93,0.4793,5
2024-04,云梯-硬件,华东,118.97,85.84,0.2785,16
2024-04,云梯-硬件,华北,93.08,68.36,0.2656,10
2024-04,云梯-硬件,华南,75.59,53.82,0.288,8
2024-04,云梯-硬件,西部,42.6,31.48,0.261,5
2024-04,云梯-服务,华东,89.99,38.85,0.5683,15
2024-04,云梯-服务,华北,52.69,23.59,0.5523,5
2024-04,云梯-服务,华南,46.19,22.02,0.5232,3
2024-04,云梯-服务,西部,29.72,13.52,0.5451,4
2024-05,云梯-企业版,华东,386.4,133.15,0.6554,56
2024-05,云梯-企业版,华北,240.56,93.37,0.6119,37
2024-05,云梯-企业版,华南,185.44,73.91,0.6015,27
2024-05,云梯-企业版,西部,111.67,41.4,0.6293,18
2024-05,云梯-标准版,华东,191.34,96.73,0.4945,23
2024-05,云梯-标准版,华北,135.36,69.12,0.4894,23
2024-05,云梯-标准版,华南,105.27,54.0,0.487,14
2024-05,云梯-标准版,西部,66.91,35.88,0.4637,13
2024-05,云梯-硬件,华东,123.69,87.85,0.2897,11
2024-05,云梯-硬件,华北,80.97,60.08,0.258,8
2024-05,云梯-硬件,华南,76.42,56.65,0.2587,12
2024-05,云梯-硬件,西部,41.88,31.53,0.2472,5
2024-05,云梯-服务,华东,86.67,38.26,0.5585,11
2024-05,云梯-服务,华北,58.13,25.49,0.5615,10
2024-05,云梯-服务,华南,46.84,20.73,0.5575,6
2024-05,云梯-服务,西部,31.94,14.21,0.5553,5
2024-06,云梯-企业版,华东,437.34,165.9,0.6207,65
2024-06,云梯-企业版,华北,267.53,95.37,0.6435,33
2024-06,云梯-企业版,华南,214.3,80.82,0.6229,25
2024-06,云梯-企业版,西部,155.98,56.21,0.6397,17
2024-06,云梯-标准版,华东,216.61,111.62,0.4847,29
2024-06,云梯-标准版,华北,160.63,84.18,0.476,18
2024-06,云梯-标准版,华南,122.95,63.0,0.4876,22
2024-06,云梯-标准版,西部,80.83,41.69,0.4843,14
2024-06,云梯-硬件,华东,149.24,107.77,0.2779,22
2024-06,云梯-硬件,华北,93.2,68.77,0.2621,20
2024-06,云梯-硬件,华南,85.72,61.52,0.2824,18
2024-06,云梯-硬件,西部,56.29,41.14,0.2691,7
2024-06,云梯-服务,华东,98.03,43.74,0.5538,12
2024-06,云梯-服务,华北,70.16,31.11,0.5566,11
2024-06,云梯-服务,华南,64.42,28.7,0.5544,8
2024-06,云梯-服务,西部,37.53,16.5,0.5605,5
2024-07,云梯-企业版,华东,335.3,132.91,0.6036,51
2024-07,云梯-企业版,华北,204.35,81.23,0.6025,31
2024-07,云梯-企业版,华南,206.1,83.25,0.5961,32
2024-07,云梯-企业版,西部,122.66,45.54,0.6287,14
2024-07,云梯-标准版,华东,167.54,87.99,0.4748,28
2024-07,云梯-标准版,华北,138.2,71.96,0.4793,19
2024-07,云梯-标准版,华南,103.58,53.98,0.4788,10
2024-07,云梯-标准版,西部,67.22,33.93,0.4952,9
2024-07,云梯-硬件,华东,121.85,90.99,0.2533,18
2024-07,云梯-硬件,华北,85.66,63.12,0.2631,10
2024-07,云梯-硬件,华南,74.57,53.17,0.287,13
2024-07,云梯-硬件,西部,43.92,32.6,0.2577,2
2024-07,云梯-服务,华东,86.55,40.66,0.5302,11
2024-07,云梯-服务,华北,59.19,24.8,0.5811,6
2024-07,云梯-服务,华南,50.13,21.96,0.5619,8
2024-07,云梯-服务,西部,32.37,15.06,0.5348,2
2024-08,云梯-企业版,华东,335.25,143.74,0.5712,47
2024-08,云梯-企业版,华北,239.76,93.51,0.61,32
2024-08,云梯-企业版,华南,196.81,79.61,0.5955,31
2024-08,云梯-企业版,西部,117.17,46.37,0.6043,12
2024-08,云梯-标准版,华东,202.59,107.6,0.4689,25
2024-08,云梯-标准版,华北,132.24,70.08,0.47,24
2024-08,云梯-标准版,华南,108.68,56.09,0.4839,9
2024-08,云梯-标准版,西部,64.51,32.67,0.4935,13
2024-08,云梯-硬件,华东,130.2,94.91,0.2711,17
2024-08,云梯-硬件,华北,76.73,55.84,0.2722,7
2024-08,云梯-硬件,华南,82.34,60.08,0.2703,8
2024-08,云梯-硬件,西部,45.87,34.36,0.251,8
2024-08,云梯-服务,华东,77.91,35.92,0.5389,13
2024-08,云梯-服务,华北,57.24,25.44,0.5556,5
2024-08,云梯-服务,华南,46.02,19.73,0.5712,5
2024-08,云梯-服务,西部,30.72,14.56,0.5259,2
2024-09,云梯-企业版,华东,388.44,160.88,0.5858,61
2024-09,云梯-企业版,华北,301.61,123.32,0.5911,38
2024-09,云梯-企业版,华南,243.7,101.32,0.5843,37
2024-09,云梯-企业版,西部,149.03,59.05,0.6038,26
2024-09,云梯-标准版,华东,213.53,113.62,0.4679,27
2024-09,云梯-标准版,华北,144.84,77.03,0.4682,29
2024-09,云梯-标准版,华南,147.71,77.29,0.4768,23
2024-09,云梯-标准版,西部,88.99,46.15,0.4814,10
2024-09,云梯-硬件,华东,153.87,113.27,0.2638,23
2024-09,云梯-硬件,华北,102.88,77.01,0.2515,21
2024-09,云梯-硬件,华南,89.77,65.89,0.266,13
2024-09,云梯-硬件,西部,56.08,41.79,0.2548,10
2024-09,云梯-服务,华东,108.02,46.32,0.5712,20
2024-09,云梯-服务,华北,70.79,31.43,0.556,14
2024-09,云梯-服务,华南,64.71,29.82,0.5392,6
2024-09,云梯-服务,西部,41.93,19.04,0.5459,9
2024-10,云梯-企业版,华东,296.81,124.42,0.5808,47
2024-10,云梯-企业版,华北,231.07,94.65,0.5904,31
2024-10,云梯-企业版,华南,221.11,97.06,0.561,30
2024-10,云梯-企业版,西部,120.78,49.54,0.5898,23
2024-10,云梯-标准版,华东,196.15,98.39,0.4984,30
2024-10,云梯-标准版,华北,123.85,65.05,0.4747,16
2024-10,云梯-标准版,华南,118.96,62.08,0.4781,17
2024-10,云梯-标准版,西部,73.57,38.01,0.4834,10
2024-10,云梯-硬件,华东,120.71,89.71,0.2568,21
2024-10,云梯-硬件,华北,82.43,60.51,0.2659,9
2024-10,云梯-硬件,华南,68.26,50.08,0.2663,4
2024-10,云梯-硬件,西部,41.86,30.85,0.2631,1
2024-10,云梯-服务,华东,90.03,41.25,0.5418,12
2024-10,云梯-服务,华北,58.44,25.24,0.5682,11
2024-10,云梯-服务,华南,52.62,23.56,0.5522,9
2024-10,云梯-服务,西部,32.12,14.01,0.5637,1
2024-11,云梯-企业版,华东,335.53,140.83,0.5803,52
2024-11,云梯-企业版,华北,225.81,102.09,0.5479,31
2024-11,云梯-企业版,华南,203.15,85.03,0.5814,26
2024-11,云梯-企业版,西部,122.52,51.63,0.5786,17
2024-11,云梯-标准版,华东,191.84,100.39,0.4767,24
2024-11,云梯-标准版,华北,124.41,64.1,0.4848,24
2024-11,云梯-标准版,华南,102.13,51.95,0.4913,8
2024-11,云梯-标准版,西部,66.7,34.88,0.477,8
2024-11,云梯-硬件,华东,115.79,83.61,0.2779,21
2024-11,云梯-硬件,华北,89.63,67.54,0.2464,19
2024-11,云梯-硬件,华南,71.21,53.26,0.252,14
2024-11,云梯-硬件,西部,44.0,32.3,0.2659,9
2024-11,云梯-服务,华东,85.31,37.28,0.563,7
2024-11,云梯-服务,华北,62.14,27.08,0.5643,5
2024-11,云梯-服务,华南,50.48,23.82,0.5282,11
2024-11,云梯-服务,西部,32.21,14.76,0.5418,1
2024-12,云梯-企业版,华东,419.54,180.28,0.5703,62
2024-12,云梯-企业版,华北,275.95,126.27,0.5424,38
2024-12,云梯-企业版,华南,245.23,110.28,0.5503,35
2024-12,云梯-企业版,西部,174.86,75.32,0.5692,18
2024-12,云梯-标准版,华东,245.04,125.11,0.4894,35
2024-12,云梯-标准版,华北,150.84,78.35,0.4806,29
2024-12,云梯-标准版,华南,130.51,64.94,0.5024,17
2024-12,云梯-标准版,西部,89.9,44.46,0.5055,14
2024-12,云梯-硬件,华东,156.21,116.46,0.2544,22
2024-12,云梯-硬件,华北,101.38,75.88,0.2516,18
2024-12,云梯-硬件,华南,93.18,67.22,0.2786,20
2024-12,云梯-硬件,西部,56.06,41.26,0.264,9
2024-12,云梯-服务,华东,106.71,47.56,0.5543,13
2024-12,云梯-服务,华北,79.76,33.31,0.5823,10
2024-12,云梯-服务,华南,63.62,29.05,0.5434,12
2024-12,云梯-服务,西部,41.29,18.68,0.5476,6
2025-01,云梯-企业版,华东,352.73,156.01,0.5577,50
2025-01,云梯-企业版,华北,240.25,106.56,0.5564,39
2025-01,云梯-企业版,华南,217.96,96.41,0.5577,30
2025-01,云梯-企业版,西部,114.02,52.34,0.541,19
2025-01,云梯-标准版,华东,199.65,103.81,0.48,34
2025-01,云梯-标准版,华北,139.23,74.27,0.4665,21
2025-01,云梯-标准版,华南,107.42,56.45,0.4745,19
2025-01,云梯-标准版,西部,77.92,39.44,0.4939,17
2025-01,云梯-硬件,华东,123.89,91.02,0.2653,21
2025-01,云梯-硬件,华北,88.96,66.18,0.2561,14
2025-01,云梯-硬件,华南,70.51,51.26,0.273,20
2025-01,云梯-硬件,西部,44.9,33.34,0.2574,12
2025-01,云梯-服务,华东,91.04,41.31,0.5463,12
2025-01,云梯-服务,华北,62.14,28.69,0.5384,10
2025-01,云梯-服务,华南,51.3,23.38,0.5443,12
2025-01,云梯-服务,西部,32.58,14.44,0.5569,1
2025-02,云梯-企业版,华东,382.2,178.77,0.5323,53
2025-02,云梯-企业版,华北,227.19,105.67,0.5349,30
2025-02,云梯-企业版,华南,210.14,95.42,0.5459,31
2025-02,云梯-企业版,西部,136.26,63.77,0.532,23
2025-02,云梯-标准版,华东,193.49,105.25,0.4561,28
2025-02,云梯-标准版,华北,140.71,72.22,0.4867,16
2025-02,云梯-标准版,华南,115.75,61.11,0.472,22
2025-02,云梯-标准版,西部,73.82,38.34,0.4806,8
2025-02,云梯-硬件,华东,128.15,94.08,0.2659,15
2025-02,云梯-硬件,华北,84.48,62.34,0.262,11
2025-02,云梯-硬件,华南,76.57,54.95,0.2823,14
2025-02,云梯-硬件,西部,45.42,33.29,0.267,5
2025-02,云梯-服务,华东,86.18,39.14,0.5458,14
2025-02,云梯-服务,华北,57.28,26.09,0.5445,8
2025-02,云梯-服务,华南,48.42,22.83,0.5285,10
2025-02,云梯-服务,西部,32.46,15.06,0.536,4
2025-03,云梯-企业版,华东,456.43,209.7,0.5406,64
2025-03,云梯-企业版,华北,301.81,136.27,0.5485,44
2025-03,云梯-企业版,华南,265.4,131.94,0.5029,36
2025-03,云梯-企业版,西部,135.23,64.37,0.524,24
2025-03,云梯-标准版,华东,273.62,142.75,0.4783,38
2025-03,云梯-标准版,华北,153.36,80.06,0.478,21
2025-03,云梯-标准版,华南,123.9,61.08,0.5071,17
2025-03,云梯-标准版,西部,93.29,47.14,0.4947,9
2025-03,云梯-硬件,华东,162.32,115.58,0.288,23
2025-03,云梯-硬件,华北,101.05,73.44,0.2732,15
2025-03,云梯-硬件,华南,93.37,68.76,0.2636,11
2025-03,云梯-硬件,西部,52.14,38.03,0.2707,6
2025-03,云梯-服务,华东,106.02,49.56,0.5326,17
2025-03,云梯-服务,华北,83.98,39.6,0.5284,12
2025-03,云梯-服务,华南,65.24,30.3,0.5356,16
2025-03,云梯-服务,西部,39.22,18.04,0.54,8
2025-04,云梯-企业版,华东,377.26,179.72,0.5236,53
2025-04,云梯-企业版,华北,237.94,111.68,0.5306,38
2025-04,云梯-企业版,华南,177.9,90.58,0.4909,18
2025-04,云梯-企业版,西部,142.72,68.74,0.5183,12
2025-04,云梯-标准版,华东,177.19,89.39,0.4955,19
2025-04,云梯-标准版,华北,117.68,60.87,0.4827,15
2025-04,云梯-标准版,华南,104.08,54.03,0.4809,13
2025-04,云梯-标准版,西部,75.51,38.76,0.4867,13
2025-04,云梯-硬件,华东,130.92,97.66,0.254,23
2025-04,云梯-硬件,华北,90.2,66.63,0.2613,14
2025-04,云梯-硬件,华南,76.25,58.79,0.229,11
2025-04,云梯-硬件,西部,50.64,37.41,0.2613,8
2025-04,云梯-服务,华东,90.31,42.36,0.531,15
2025-04,云梯-服务,华北,60.78,27.92,0.5406,6
2025-04,云梯-服务,华南,51.34,24.28,0.5271,7
2025-04,云梯-服务,西部,33.07,15.65,0.5268,10
2025-05,云梯-企业版,华东,378.8,183.36,0.516,56
2025-05,云梯-企业版,华北,250.36,120.08,0.5204,32
2025-05,云梯-企业版,华南,221.83,98.6,0.5555,27
2025-05,云梯-企业版,西部,139.01,67.24,0.5163,18
2025-05,云梯-标准版,华东,215.04,107.25,0.5013,31
2025-05,云梯-标准版,华北,128.62,65.19,0.4932,18
2025-05,云梯-标准版,华南,110.94,57.47,0.482,15
