month,supplier_id,purchase_k,purchase_share,on_time_rate,defect_return_rate
2024-01,S08,84.25,0.06,0.9625,0.0149
2024-01,S09,95.36,0.06,0.9736,0.0197
2024-01,S10,69.08,0.05,0.9866,0.0093
2024-01,S11,59.98,0.04,0.9612,0.0232
2024-01,S12,50.92,0.04,0.981,0.0248
2024-02,S01,231.91,0.16,0.9505,0.0293
2024-02,S02,200.25,0.14,0.9574,0.0159
2024-02,S03,157.21,0.11,0.9781,0.0058
2024-02,S04,143.98,0.1,0.9644,0.0168
2024-02,S05,121.77,0.09,0.9536,0.0278
2024-02,S06,118.33,0.08,0.9498,0.0317
2024-02,S07,102.78,0.07,0.9586,0.0186
2024-02,S08,87.01,0.06,0.965,0.0157
2024-02,S09,75.87,0.06,0.9345,0.0151
2024-02,S10,70.73,0.05,0.9678,0.0178
2024-02,S11,52.77,0.04,0.9834,0.0233
2024-02,S12,53.69,0.04,0.9571,0.0221
2024-03,S01,248.21,0.16,0.9382,0.0198
2024-03,S02,192.48,0.14,0.9577,0.0206
2024-03,S03,151.56,0.11,0.9709,0.0263
2024-03,S04,136.81,0.1,0.9806,0.0189
2024-03,S05,126.51,0.09,0.9552,0.0274
2024-03,S06,100.02,0.08,0.9674,0.0207
2024-03,S07,92.57,0.07,0.9468,0.0251
2024-03,S08,74.69,0.06,0.9782,0.0183
2024-03,S09,82.74,0.06,0.9739,0.0152
2024-03,S10,74.4,0.05,0.9696,
2024-03,S11,54.18,0.04,0.9716,0.0227
2024-03,S12,57.47,0.04,0.9762,0.0221
2024-04,S01,231.02,0.16,0.9777,
2024-04,S02,185.25,0.14,0.9296,0.0137
2024-04,S03,166.47,0.11,0.97,0.0147
2024-04,S04,144.43,0.1,0.9594,0.0106
2024-04,S05,129.13,0.09,0.9694,0.0165
2024-04,S06,105.41,0.08,0.9625,0.0178
2024-04,S07,92.9,0.07,0.9532,0.0133
2024-04,S08,87.98,0.06,0.9491,0.0183
2024-04,S09,79.51,0.06,0.972,0.0169
2024-04,S10,65.3,0.05,0.9703,0.0155
2024-04,S11,56.56,0.04,0.9687,0.0089
2024-04,S12,55.06,0.04,1.0,0.0184
2024-05,S01,224.12,0.16,0.9605,0.0162
2024-05,S02,192.54,0.14,0.9502,0.0152
2024-05,S03,142.42,0.11,0.9753,0.0089
2024-05,S04,141.87,0.1,0.9557,0.0251
2024-05,S05,137.38,0.09,0.9785,0.018
2024-05,S06,116.29,0.08,0.9194,0.017
2024-05,S07,87.66,0.07,0.9676,
2024-05,S08,79.17,0.06,0.9622,0.0094
2024-05,S09,86.19,0.06,0.9524,0.0207
2024-05,S10,67.32,0.05,0.9665,0.0219
2024-05,S11,54.69,0.04,0.9803,0.0181
2024-05,S12,55.36,0.04,0.9265,0.0109
2024-06,S01,228.53,0.1604,0.9479,0.0112
2024-06,S02,201.96,0.1404,0.9582,0.0234
2024-06,S03,137.21,0.1104,0.9863,
2024-06,S04,140.82,0.0999,0.9807,0.0138
2024-06,S05,127.46,0.0899,0.9634,0.0128
2024-06,S06,118.0,0.0799,0.977,0.0147
2024-06,S07,96.63,0.0699,0.9618,0.019
2024-06,S08,85.99,0.0599,0.954,0.0104
2024-06,S09,70.46,0.0599,0.9789,0.0143
2024-06,S10,70.94,0.0499,0.9931,0.0097
2024-06,S11,58.05,0.0399,0.9582,0.0187
2024-06,S12,57.64,0.0399,0.9629,0.008
2024-07,S01,231.56,0.1609,0.9634,0.0238
2024-07,S02,216.56,0.1409,0.9361,0.0256
2024-07,S03,149.07,0.1109,0.9744,0.0171
2024-07,S04,131.64,0.0997,0.981,0.0152
2024-07,S05,121.69,0.0897,0.966,0.0172
2024-07,S06,112.81,0.0797,0.9631,0.0219
2024-07,S07,101.76,0.0697,0.953,0.0136
2024-07,S08,80.16,0.0597,0.956,0.0153
2024-07,S09,80.89,0.0597,0.9803,0.0091
2024-07,S10,71.22,0.0497,0.95,0.0143
2024-07,S11,56.08,0.0397,0.9572,0.0173
2024-07,S12,53.44,0.0397,0.9632,0.0186
2024-08,S01,222.44,0.1613,0.9793,0.0218
2024-08,S02,202.59,0.1413,0.9684,0.0237
2024-08,S03,161.04,0.1113,0.9488,0.0146
2024-08,S04,130.86,0.0996,0.9629,0.0165
2024-08,S05,127.57,0.0896,0.9495,0.0214
2024-08,S06,113.13,0.0796,0.9692,0.0153
2024-08,S07,103.56,0.0696,0.9629,0.0202
2024-08,S08,78.32,0.0596,0.9699,0.0205
2024-08,S09,84.37,0.0596,0.9559,0.0216
2024-08,S10,72.37,0.0496,0.9673,
2024-08,S11,56.17,0.0396,0.9951,0.0286
2024-08,S12,53.99,0.0396,0.963,0.0185
2024-09,S01,214.23,0.1631,0.9581,0.0228
2024-09,S02,193.37,0.1431,0.9598,0.0213
2024-09,S03,165.79,0.1131,0.9559,0.021
2024-09,S04,130.19,0.099,0.9742,0.032
2024-09,S05,127.26,0.089,0.9799,0.015
2024-09,S06,110.87,0.079,0.9702,0.0105
2024-09,S07,107.57,0.069,0.9686,0.0258
2024-09,S08,86.22,0.059,0.9548,0.0169
2024-09,S09,85.58,0.059,0.9916,0.0204
2024-09,S10,73.14,0.049,0.9462,0.0179
2024-09,S11,56.2,0.039,0.9655,0.0219
2024-09,S12,56.2,0.039,0.9555,0.019
2024-10,S01,222.89,0.1648,0.9403,0.0227
2024-10,S02,206.1,0.1448,0.9975,0.0144
2024-10,S03,167.25,0.1148,0.9704,0.0118
2024-10,S04,134.35,0.0984,0.9585,0.0144
2024-10,S05,122.28,0.0884,0.968,0.016
2024-10,S06,105.87,0.0784,0.962,0.0054
2024-10,S07,89.42,0.0684,0.9726,0.0163
2024-10,S08,74.5,0.0584,0.9483,0.0276
2024-10,S09,81.66,0.0584,0.9801,0.015
2024-10,S10,67.75,0.0484,0.9803,0.012
2024-10,S11,54.67,0.0384,0.9865,0.0054
2024-10,S12,56.58,0.0384,0.9806,0.0129
2024-11,S01,229.32,0.1632,0.9655,0.0143
2024-11,S02,233.91,0.1632,0.9679,0.019
2024-11,S03,166.64,0.1142,0.9528,0.0158
2024-11,S04,137.93,0.0959,0.9631,0.016
2024-11,S05,106.39,0.0861,0.9613,0.0185
2024-11,S06,111.21,0.0763,0.9321,0.0227
2024-11,S07,90.41,0.0665,0.9558,0.0206
2024-11,S08,81.71,0.0567,0.9647,0.0078
2024-11,S09,74.58,0.0567,0.9693,0.0189
2024-11,S10,64.57,0.0469,0.9711,0.0157
2024-11,S11,48.26,0.0371,0.9849,
2024-11,S12,50.42,0.0371,0.9771,0.0346
2024-12,S01,231.05,0.1618,0.9703,0.0106
2024-12,S02,240.16,0.181,0.9302,0.0073
2024-12,S03,155.56,0.1137,0.9511,
2024-12,S04,129.2,0.0935,0.9484,0.0218
2024-12,S05,112.48,0.0839,0.9639,0.0329
2024-12,S06,102.76,0.0743,0.9789,0.0155
2024-12,S07,89.98,0.0647,0.9588,
2024-12,S08,77.6,0.0551,0.9655,0.0227
2024-12,S09,65.43,0.0551,0.9529,0.0271
2024-12,S10,62.24,0.0454,0.987,0.0048
2024-12,S11,46.44,0.0358,0.9561,0.0092
2024-12,S12,49.08,0.0358,0.967,0.021
2025-01,S01,226.06,0.1603,0.9536,0.0171
2025-01,S02,268.98,0.1981,0.9402,0.0128
2025-01,S03,155.67,0.1132,0.9684,0.0114
2025-01,S04,130.38,0.0912,0.9726,0.0178
2025-01,S05,119.24,0.0818,0.9527,0.0058
2025-01,S06,100.11,0.0723,0.9807,0.0216
2025-01,S07,84.59,0.0629,0.9611,0.0171
2025-01,S08,74.98,0.0535,0.9682,0.0186
2025-01,S09,72.68,0.0535,0.9727,0.0162
2025-01,S10,70.02,0.044,0.9668,0.0308
2025-01,S11,48.51,0.0346,0.9672,0.013
2025-01,S12,48.17,0.0346,0.9553,0.0312
2025-02,S01,214.15,0.159,0.9493,0.0306
2025-02,S02,296.16,0.2145,0.93,0.021
2025-02,S03,163.84,0.1127,0.9574,0.0227
2025-02,S04,118.66,0.089,0.9451,0.0262
2025-02,S05,100.25,0.0797,0.9762,0.0266
2025-02,S06,100.0,0.0705,0.9811,0.0128
2025-02,S07,84.26,0.0612,0.9852,0.0123
2025-02,S08,74.63,0.0519,0.9519,0.0184
2025-02,S09,73.1,0.0519,0.9553,0.0142
2025-02,S10,59.81,0.0427,0.9674,0.0267
2025-02,S11,44.32,0.0334,0.9779,0.0165
2025-02,S12,47.04,0.0334,0.9774,0.0248
2025-03,S01,210.87,0.1565,0.9962,0.0162
2025-03,S02,307.85,0.2289,0.9058,0.0158
2025-03,S03,169.13,0.1113,0.9601,0.0156
2025-03,S04,118.29,0.0866,0.9668,0.0202
2025-03,S05,112.82,0.0775,0.9782,0.0186
2025-03,S06,95.58,0.0685,0.9728,0.0203
2025-03,S07,90.62,0.064,0.9542,0.0195
2025-03,S08,72.76,0.0504,0.9749,0.0192
2025-03,S09,72.8,0.0504,0.9752,0.013
2025-03,S10,60.94,0.0413,0.9881,0.0138
2025-03,S11,47.0,0.0323,0.9661,0.0179
2025-03,S12,43.11,0.0323,0.9692,0.0318
2025-04,S01,210.59,0.154,0.9745,0.0238
2025-04,S02,344.57,0.2423,0.9139,0.0184
2025-04,S03,145.68,0.1098,0.9844,0.0066
2025-04,S04,132.25,0.0842,0.9466,0.0225
2025-04,S05,115.95,0.0768,0.9716,0.0167
2025-04,S06,85.44,0.0665,0.9969,0.0258
2025-04,S07,95.94,0.0665,0.9641,0.0185
2025-04,S08,63.82,0.0488,0.9534,0.028
2025-04,S09,69.76,0.0488,0.9804,0.0198
2025-04,S10,60.99,0.04,0.9657,0.0258
2025-04,S11,45.56,0.0311,0.9636,0.0234
2025-04,S12,42.37,0.0311,0.9888,0.0292
2025-05,S01,203.86,0.1515,0.9262,0.0194
2025-05,S02,348.91,0.2551,0.8764,0.0203
2025-05,S03,153.32,0.1084,0.9746,0.0205
2025-05,S04,116.86,0.0819,0.9674,0.0243
2025-05,S05,93.32,0.0762,0.9712,0.0225
2025-05,S06,91.12,0.0646,0.927,0.0067
2025-05,S07,97.11,0.0689,0.9519,
2025-05,S08,62.72,0.0473,0.9406,0.0169
2025-05,S09,65.61,0.0473,0.9943,0.0266
2025-05,S10,54.22,0.0387,0.9528,0.0215
2025-05,S11,37.4,0.0301,0.9367,0.0142
2025-05,S12,42.42,0.0301,0.973,0.0247
2025-06,S01,232.66,0.1492,0.9683,0.0143
2025-06,S02,404.67,0.2673,0.8787,0.0296
2025-06,S03,151.58,0.107,0.9857,0.0171
2025-06,S04,115.08,0.0796,0.9576,0.0112
2025-06,S05,101.79,0.0755,0.996,0.0222
2025-06,S06,98.03,0.0628,0.9352,0.013
2025-06,S07,97.55,0.0712,0.9886,0.0333
2025-06,S08,62.19,0.0459,0.9526,0.0196
2025-06,S09,63.21,0.0459,0.9697,0.0207
2025-06,S10,49.61,0.0375,0.9604,0.0083
2025-06,S11,39.25,0.029,0.9888,0.016
2025-06,S12,43.94,0.029,0.9432,0.0107
2025-07,S01,220.53,0.147,0.9726,0.0192
2025-07,S02,376.24,0.279,0.8939,0.0177
2025-07,S03,157.4,0.1057,0.9761,0.0159
2025-07,S04,108.01,0.0775,0.9881,
2025-07,S05,103.81,0.0749,0.9769,0.0169
2025-07,S06,87.71,0.061,0.9739,0.0235
2025-07,S07,107.06,0.0734,0.9479,0.0229
2025-07,S08,56.5,0.0445,0.9635,0.0248
2025-07,S09,61.45,0.0445,0.9788,0.0256
2025-07,S10,47.23,0.0363,0.9822,0.0174
2025-07,S11,42.64,0.028,0.977,0.0206
2025-07,S12,38.29,0.028,0.9716,0.0165
2025-08,S01,172.72,0.1448,1.0,0.0148
2025-08,S02,383.74,0.2902,0.8764,0.0184
2025-08,S03,147.82,0.1045,0.9713,0.0094
2025-08,S04,98.58,0.0755,0.9458,0.0157
2025-08,S05,91.37,0.0744,0.9441,0.0236
2025-08,S06,86.79,0.0594,0.9424,0.0219
2025-08,S07,96.19,0.0755,0.9477,0.0227
2025-08,S08,61.33,0.0432,0.9601,
2025-08,S09,58.11,0.0432,0.9633,0.0128
2025-08,S10,47.56,0.0352,0.9674,0.011
2025-08,S11,38.94,0.0271,0.9497,0.0168
2025-08,S12,39.21,0.0271,0.9449,0.0101
2025-09,S01,200.97,0.1428,0.9678,0.022
2025-09,S02,409.25,0.3009,0.8632,0.0203
2025-09,S03,143.95,0.1033,0.9583,0.0036
2025-09,S04,94.87,0.0736,0.9707,0.0257
2025-09,S05,114.97,0.0738,0.96,0.0249
2025-09,S06,79.7,0.0578,0.9524,0.0144
2025-09,S07,113.09,0.0775,0.9415,0.0143
2025-09,S08,57.52,0.042,0.9562,0.0111
2025-09,S09,54.27,0.042,0.9832,0.0133
2025-09,S10,47.5,0.0341,0.978,0.0135
2025-09,S11,36.1,0.0262,0.9684,0.0186
2025-09,S12,37.81,0.0262,0.9642,0.0187
2025-10,S01,202.61,0.142,0.9637,
2025-10,S02,396.59,0.2993,0.8446,
2025-10,S03,132.3,0.1027,0.9495,0.022
2025-10,S04,100.08,0.0732,0.9708,0.0061
2025-10,S05,96.82,0.0748,0.9734,0.0197
2025-10,S06,77.61,0.0575,0.9701,0.0146
2025-10,S07,112.55,0.0811,0.9423,0.0168
2025-10,S08,56.46,0.0418,0.9493,0.0227
2025-10,S09,59.5,0.0418,0.9855,0.022
2025-10,S10,48.72,0.0339,0.972,0.0216
2025-10,S11,38.13,0.026,0.9734,0.019
2025-10,S12,37.19,0.026,0.965,0.0096
2025-11,S01,197.79,0.1415,0.9635,0.0154
2025-11,S02,428.82,0.2981,0.832,0.0102
2025-11,S03,141.32,0.1023,0.9769,0.0218
2025-11,S04,102.66,0.0729,0.964,0.017
2025-11,S05,118.27,0.0745,0.9463,0.0228
2025-11,S06,84.29,0.0573,0.954,0.0259
2025-11,S07,114.41,0.0847,0.9498,0.023
2025-11,S08,59.53,0.0416,0.9749,0.0125
2025-11,S09,58.14,0.0416,0.9687,0.0247
2025-11,S10,39.91,0.0338,0.9735,0.0158
2025-11,S11,35.95,0.0259,0.9805,
2025-11,S12,35.01,0.0259,0.9573,0.0135
2025-12,S01,202.36,0.1409,0.9435,0.0303
2025-12,S02,426.89,0.2969,0.8265,0.0228
2025-12,S03,129.07,0.1019,0.9532,
2025-12,S04,103.94,0.0726,0.957,0.0247
2025-12,S05,99.87,0.0742,0.958,0.0186
2025-12,S06,78.91,0.057,0.9666,0.0233
2025-12,S07,129.25,0.0882,0.912,
2025-12,S08,58.71,0.0414,0.9875,0.0242
2025-12,S09,57.54,0.0414,0.9533,0.0291
2025-12,S10,47.55,0.0336,0.9452,0.0142
2025-12,S11,39.1,0.0258,0.9533,
2025-12,S12,37.88,0.0258,0.958,0.0195
