month,product_line,revenue_k,operating_cash_k,cash_to_revenue
2024-10,云梯-企业版,869.77,247.29,0.2843
2024-10,云梯-标准版,512.53,157.74,0.3078
2024-10,云梯-硬件,313.26,96.45,0.3079
2024-10,云梯-服务,233.21,67.36,0.2888
2024-11,云梯-企业版,887.01,240.52,0.2712
2024-11,云梯-标准版,485.08,140.66,0.29
2024-11,云梯-硬件,320.63,96.76,0.3018
2024-11,云梯-服务,230.14,67.91,0.2951
2024-12,云梯-企业版,1115.58,305.85,0.2742
2024-12,云梯-标准版,616.29,204.2,0.3313
2024-12,云梯-硬件,406.83,120.12,0.2952
2024-12,云梯-服务,291.38,86.6,0.2972
2025-01,云梯-企业版,924.96,297.7,0.3219
2025-01,云梯-标准版,524.22,154.65,0.295
2025-01,云梯-硬件,328.26,86.48,0.2635
2025-01,云梯-服务,237.06,64.14,0.2706
2025-02,云梯-企业版,955.79,296.66,0.3104
2025-02,云梯-标准版,523.77,153.26,0.2926
2025-02,云梯-硬件,334.62,88.74,0.2652
2025-02,云梯-服务,224.34,57.48,0.2562
2025-03,云梯-企业版,1158.87,328.52,0.2835
2025-03,云梯-标准版,644.17,174.47,0.2709
2025-03,云梯-硬件,408.88,105.68,0.2585
2025-03,云梯-服务,294.46,84.09,0.2856
2025-04,云梯-企业版,935.82,259.2,0.277
2025-04,云梯-标准版,474.46,119.72,0.2523
2025-04,云梯-硬件,348.01,103.21,0.2966
2025-04,云梯-服务,235.5,73.16,0.3106
2025-05,云梯-企业版,990.0,271.26,0.274
2025-05,云梯-标准版,523.06,125.64,0.2402
2025-05,云梯-硬件,345.04,88.47,0.2564
2025-05,云梯-服务,235.83,67.35,0.2856
2025-06,云梯-企业版,1129.06,312.93,0.2772
2025-06,云梯-标准版,640.8,176.89,0.276
2025-06,云梯-硬件,423.2,118.54,0.2801
2025-06,云梯-服务,290.16,81.87,0.2822
2025-07,云梯-企业版,933.5,266.77,0.2858
2025-07,云梯-标准版,517.61,138.56,0.2677
2025-07,云梯-硬件,327.24,87.68,0.2679
2025-07,云梯-服务,234.28,68.14,0.2908
2025-08,云梯-企业版,896.49,234.2,0.2612
2025-08,云梯-标准版,519.29,150.89,0.2906
2025-08,云梯-硬件,332.74,93.9,0.2822
2025-08,云梯-服务,247.43,68.58,0.2772
2025-09,云梯-企业版,1171.82,308.9,0.2636
2025-09,云梯-标准版,646.52,179.21,0.2772
2025-09,云梯-硬件,410.86,108.43,0.2639
2025-09,云梯-服务,300.82,77.09,0.2563
2025-10,云梯-企业版,947.38,274.39,0.2896
2025-10,云梯-标准版,547.67,143.93,0.2628
2025-10,云梯-硬件,313.36,86.23,0.2752
2025-10,云梯-服务,231.79,63.3,0.2731
2025-11,云梯-企业版,907.22,245.48,0.2706
2025-11,云梯-标准版,541.45,127.24,0.235
2025-11,云梯-硬件,310.79,86.26,0.2775
2025-11,云梯-服务,233.32,63.07,0.2703
2025-12,云梯-企业版,1159.9,321.33,0.277
2025-12,云梯-标准版,659.96,163.09,0.2471
2025-12,云梯-硬件,397.38,111.44,0.2804
2025-12,云梯-服务,295.07,81.08,0.2748
